45 45C 45Creseq 46a 47 48 49 50 51 52 52reseq 52reseq2 53 53reseq 54 55 56 57
CTRG_05915|1737 1608 1705 4566 2948 1332 990 1494 3045 3683 3302 4072 1202 1032 1613 1504 1712 2043 1816
CTRG_05916|903 2848 2435 6156 4405 1274 1186 1726 3062 5130 3969 5297 1523 2467 3589 3036 3385 6002 4424
CTRG_05917|1026 4 83 233 10160 7 10 11 43 38 68 69 16 34 43 83 133 383 381
MSTRG.211.1|204|x|CTRG_05918-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 2
CTRG_05918|678 4 58 147 161 6 9 8 9 19 16 31 10 13 8 30 27 71 40
CTRG_05919|678 309 496 1324 906 377 367 514 714 1112 959 1160 314 558 925 748 954 1143 896
CTRG_05920|1629 203 359 951 2451 495 286 487 877 1474 1252 1467 451 651 882 863 1215 2356 1890
CTRG_05921|3555 3728 557 1385 5109 16184 8972 13498 43559 47385 47103 59004 17416 11941 17379 15793 20828 29956 28517
CTRG_05922|537 4671 6363 16942 4634 2079 2825 3282 2293 3415 2992 3732 1133 1823 2852 2367 2447 3313 2521
CTRG_05923|1776 4 2 5 6 4 0 4 16 15 4 13 2 1 2 0 3 19 14
CTRG_05924|1338 44 56 119 266 53 14 36 39 58 51 60 9 12 16 21 25 87 56
CTRG_05925|1074 9 34 80 72 44 14 21 44 33 38 41 20 8 12 8 16 37 42
CTRG_05926|2007 249 222 640 384 584 279 358 480 788 603 709 225 176 254 252 346 668 549
CTRG_05927|870 606 615 1660 840 922 623 1219 2373 2218 2097 2536 821 954 1464 1070 1431 1577 1253
CTRG_05928|432 254 128 359 688 304 95 990 2246 1908 1987 2372 758 328 479 530 392 780 682
MSTRG.224.1|1215|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 33 16 62 26 34 21 51 78 78 63 93 34 32 48 24 42 67 44
MSTRG.225.1|781|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 1736 2513 6625 2768 2653 1520 3708 21877 29738 25315 31503 9241 6922 10311 6657 8577 20939 13921
MSTRG.226.1|384|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 0 1 0 0 0 9 7 6 14 2 2 3 0 0 7 3
CTRG_05929|3480 2 1 5 1 4 1 4 2 6 6 7 4 0 0 0 0 0 5
MSTRG.228.1|279|x|CTRG_05929-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 3 3 6 8 1 8 8 19 15 28 11 5 6 6 9 4 4
CTRG_05930|1287 8 10 41 57 7 12 16 16 19 13 17 6 19 18 26 23 136 109
CTRG_05931|1518 500 1257 3371 1905 701 479 810 2609 5272 4038 4938 1459 964 1338 1378 1956 1862 1480
MSTRG.231.1|451|x|CTRG_05931-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 5 15 23 4 6 9 4 16 24 16 13 6 3 6 5 5 11 7
CTRG_05932|1491 382 1477 3998 559 670 590 766 1376 2286 1827 2317 694 599 878 720 970 813 632
CTRG_05933|1803 58 39 120 119 23 23 27 82 135 101 134 34 121 198 189 167 288 215
